시장코드,시장명,시장 유형,지번주소,도로명주소,시도,시군구,아케이드 보유 여부,엘리베이터_에스컬레이터_보유여부,고객지원센터 보유 여부,스프링쿨러 보유 여부,화재감지기 보유여부,유아놀이방_보유여부,종합콜센터_보유여부,고객휴게실_보유여부,수유센터_보유여부,물품보관함_보유여부,자전거보관함_보유여부,체육시설_보유여부,간이 도서관_보유여부,쇼핑카트_보유여부,외국인 안내센터_보유여부,고객동선통로_보유여부,방송센터_보유여부,문화교실_보유여부,공동물류창고_보유여부,시장전용 고객주차장_보유여부,교육장_보유여부,회의실_보유여부,자동심장충격기_보유여부
a02010014,신설종합시장,전통시장,서울특별시 종로구 숭인동 206-9 신설종합시장,서울특별시 종로구 난계로27길 51,서울,종로구,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
a02010001,광장시장,전통시장,서울특별시 종로구 예지동 2-1,서울특별시 종로구 창경궁로 88,서울,종로구,Y,,Y,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N
a02010015,종로신진시장,전통시장,서울특별시 종로구 종로5가 225-21,서울특별시 종로구 종로38길 16,서울,종로구,Y,,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y
a02010021,한일상가,전통시장,서울특별시 종로구 종로5가 314-7 청오가방도매상가,서울특별시 종로구 청계천로 229 종로5가,서울,종로구,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02010006,동대문종합시장,전통시장,서울특별시 종로구 종로6가 289-3 동대,서울특별시 종로구 종로 266 동대문종합시장,서울,종로구,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y
a02010007,동대문종합시장D동상가,전통시장,서울특별시 종로구 종로6가 262-1 동대문종합시장디동,서울특별시 종로구 종로266종합시장디동,서울,종로구,N,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,Y
a02010023,동대문종합시장 신관(동대문쇼핑타운),전통시장,서울특별시 종로구 종로 266 동대문종합시장 신관지하1층81호,서울특별시 종로구 종로 272 종로6가,서울,종로구,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N
a02010011,동문시장㈜,전통시장,서울특별시 종로구 창신동 436-41 동문상가,서울특별시 종로구 종로44길 14,서울,종로구,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
a02010017,통인시장,전통시장,서울특별시 종로구 통인동 10-3,서울특별시 종로구 자하문로 15길 18,서울,종로구,Y,,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,N
a02020008,남대문시장,전통시장,서울특별시 중구 남창동 49-1 일대,서울특별시 중구 남대문시장4길 21 일대,서울,중구,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,Y,N
a02020010,숭례문수입상가,전통시장,서울특별시 중구 남창동 51-1 롯데손해보험빌딩,서울특별시 중구 소월로 3,서울,중구,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N
a02020012,삼익패션타운,전통시장,서울특별시 중구 남창동 5 삼익패션타운,서울특별시 중구 남대문시장 8길 7 삼익패션타운,서울,중구,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N
b02020008,대림상가,전통시장,서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,서울,중구,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N
a02020025,청계상가,전통시장,서울특별시 중구 산림동 207-1,서울특별시 중구 청계천로 160,서울,중구,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N
a02020003,광희패션몰,전통시장,서울특별시 중구 신당동 777 광희시장,서울특별시 중구 마장로1길 21,서울,중구,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y
a02020004,남평화시장,전통시장,서울특별시 중구 신당동 772 남평화시장,서울특별시 중구 장충단로 282-10 신당동,서울,중구,N,N,Y,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02020005,동평화시장,전통시장,서울특별시 중구 신당동 217-92 동평화의류상가,서울특별시 중구 청계천로 318 동평화시장 7층,서울,중구,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N
a02020011,신평화패션타운,전통시장,서울특별시 중구 신당동 217-1 신평화상가,서울특별시 중구 청계천로 298 신당동,서울,중구,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,Y,N,Y,Y,N
a02020013,벨포스트,전통시장,서울특별시 중구 신당동 776,서울특별시 중구 마장로 19 신당동,서울,중구,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N
a02020015,제일평화시장,전통시장,서울특별시 중구 신당동 775 제일평화시장,서울특별시 중구 마장로 13 신당동,서울,중구,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y
a02020017,청평화시장,전통시장,서울특별시 중구 신당동 217-91 청평화시장,서울특별시 중구 청계천로 334 신당동,서울,중구,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,N
a02020022,테크노상가,전통시장,서울특별시 중구 신당동 213-51 엠씨프라자,서울특별시 중구 마장로1가길 17 테크노상가,서울,중구,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y
a02020026,Team204,전통시장,서울특별시 중구 신당동 204-48 외 3필지,서울특별시 중구 마장로 30,서울,중구,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,Y,Y
a02020001,신중부시장,전통시장,서울특별시 중구 오장동 44-8 중부빌딩 일대,서울특별시 중구 을지로30길 29 오장동 일대,서울,중구,Y,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
a02020016,중부시장,전통시장,서울특별시 중구 오장동 139-11 일대,서울특별시 중구 을지로36길 35 오장동 일대,서울,중구,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N
a02020006,동화상가,전통시장,서울특별시 중구 을지로6가 17-415,서울특별시 중구 장충단로13길 34 동화상가,서울,중구,N,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N
a02020018,통일상가,전통시장,서울특별시 중구 을지로6가 17-11,서울특별시 중구 청계천로 260-6,서울,중구,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N
a02020019,평화시장,전통시장,서울특별시 중구 을지로6가 17-48 일대,서울특별시 중구 청계천로 274 일대,서울,중구,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y
a02020007,방산종합시장,전통시장,서울특별시 중구 주교동 19-1 방산종합시장,서울특별시 중구 동호로37길 20 주교동,서울,중구,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02020009,서울중앙시장,전통시장,서울특별시 중구 황학동 442 일대,서울특별시 중구 퇴계로 85길 36 일대,서울,중구,Y,,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N
a02020023,신중앙시장,전통시장,서울특별시 중구 황학동 442 일대,서울특별시 중구 퇴계로85길 36 황학동 일대,서울,중구,Y,,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,N
a02020024,황학시장,전통시장,서울특별시 중구 황학동 442,서울특별시 중구 퇴계로85길 36,서울,중구,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a02020020,자유상가,전통시장,서울특별시 중구 회현동1가 202-1,서울특별시 중구 남대문로 36 회현동1가,서울,중구,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y
a02020027,아트프라자,전통시장,서울특별시 중구 신당동 213-67,서울특별시 중구 마장로1길 28,서울,중구,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y
a02030002,보광시장,전통시장,서울특별시 용산구 보광동 260-8 보광시장상가 주 ,서울특별시 용산구 보광로 30,서울,용산구,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N
a02030001,만리시장,전통시장,서울특별시 용산구 서계동 260-1 만리시장,서울특별시 용산구 효창원로 270 서계동,서울,용산구,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
a02030005,신흥시장,전통시장,서울특별시 용산구 용산동 2가 1-480,서울특별시 용산구 신흥로 95-9 용산동2가,서울,용산구,Y,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N
a02030008,이촌종합시장,전통시장,서울특별시 용산구 이촌동 301-53 이촌종합상가,서울특별시 용산구 이촌로75길 16-9,서울,용산구,Y,,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N
a02030006,이태원시장,전통시장,서울특별시 용산구 이태원동 56-9 이태원시장,서울특별시 용산구 이태원로14길 6,서울,용산구,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y
a02030007,후암시장,전통시장,서울특별시 용산구 후암동 103,서울특별시 용산구 한강대로104길 77,서울,용산구,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
a02030009,용산용문시장,전통시장,서울특별시 용산구 효창원로40길 13,서울특별시 용산구 효창원로40길 13 용문동,서울,용산구,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y
a02040001,금남시장,전통시장,서울특별시 성동구 금호동3가 308,서울특별시 성동구 금호산2길 32 2층,서울,성동구,Y,,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y
a02040005,마장축산물시장,전통시장,서울특별시 성동구 마장동 439-1  4층,서울특별시 성동구 마장로35길 68 4층,서울,성동구,Y,,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,Y
a02040004,뚝도시장,전통시장,서울특별시 성동구 성수동2가 335-16,서울특별시 성동구 성수이로 32-15,서울,성동구,Y,,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y
b02040005,용답상가시장,전통시장,서울특별시 성동구 용답동 57-17,서울특별시 성동구 용답중앙길 59,서울,성동구,N,,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y
a02050004,노룬산시장(건물형),전통시장,서울특별시 광진구 자양동 44-2,서울특별시 광진구 뚝섬로 491 노룬산시장,서울,광진구,Y,,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N
a02050010,조양시장(건물형),전통시장,서울특별시 광진구 자양동 6-20,서울특별시 광진구 아차산로 30길 39,서울,광진구,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
a02050015,능동로골목시장,전통시장,서울특별시 광진구 자양동 553-219,서울특별시 광진구 뚝섬로 30길 23,서울,광진구,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a02050001,광성시장,전통시장,서울특별시 광진구 중곡동 229-15,서울특별시 광진구 능동로 47길 30,서울,광진구,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y
a02050006,신성종합시장(건물형),전통시장,서울특별시 광진구 중곡동 79-7,서울특별시 광진구 용마산로 50,서울,광진구,N,,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N
a02050012,중곡제일시장(이오상사),전통시장,서울특별시 광진구 중곡동 229-5,서울특별시 광진구 긴고랑로11길 11,서울,광진구,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
a02050013,한아름시장,전통시장,서울특별시 광진구 화양동 10-1,서울특별시 광진구 능동로13길 39,서울,광진구,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,Y,N
a02050003,노룬산골목시장,전통시장,서울특별시 광진구 자양동 553-60,서울특별시 광진구 뚝섬로25길 6,서울,광진구,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N
a02050007,영동교골목시장,전통시장,서울특별시 광진구 자양4동 40-38,서울특별시 광진구 동일로10길 47,서울,광진구,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N
a02050008,자양전통시장,전통시장,서울특별시 광진구 자양동 613-11 일원,서울특별시 광진구 뚝섬로47길 45-2,서울,광진구,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
a02050011,중곡제일전통시장(중곡제일시장),전통시장,서울특별시 광진구 중곡동 221-6번지,서울특별시 광진구 긴고랑로11길 14,서울,광진구,Y,,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y
a02050014,화양제일골목시장,전통시장,서울특별시 광진구 화양동 34-72호,서울특별시 광진구 아차산로29길 59,서울,광진구,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,N
a02050018,신성골목시장,전통시장,서울특별시 광진구 중곡동 79-10,서울특별시 광진구 영화사로 16,서울,광진구,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a02060015,청량리수산시장,전통시장,서울특별시 동대문구 용두동 20-1,서울특별시 동대문구 고산자로 34길 48의1,서울,동대문구,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
a02060024,답십리시장,전통시장,서울특별시 동대문구 답십리2동 66-17,서울특별시 동대문구 답십리로51길 4-1,서울,동대문구,Y,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
a02060116,답십리건축자재시장,전통시장,서울특별시 동대문구 답십리동 483번지 일대,서울특별시 동대문구 고미술로 49,서울,동대문구,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
a02060012,전곡시장,전통시장,서울특별시 동대문구 장안동 108-5,서울특별시 동대문구 한천로 190,서울,동대문구,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a02060020,전농로터리시장,전통시장,서울특별시 동대문구 전농동 295-52,서울특별시 동대문구 전농로 15길 7,서울,동대문구,Y,,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y
a02060001,서울약령시장,전통시장,서울특별시 동대문구 제기동 1082,서울특별시 동대문구 약령중앙로26,서울,동대문구,Y,,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y
a02060004,경동광성상가,전통시장,서울특별시 동대문구 제기동 917,서울특별시 동대문구 고산자로38길 5,서울,동대문구,Y,,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N
a02060005,경동시장,전통시장,서울특별시 동대문구 제기동 1036,서울특별시 동대문구 고산자로36길 3,서울,동대문구,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y
a02060009,동서시장,전통시장,서울특별시 동대문구 제기동 650,서울특별시 동대문구 왕산로33길 13,서울,동대문구,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y
a02060013,청량종합도매시장(깡통시장),전통시장,서울특별시 동대문구 제기동 620-44,서울특별시 동대문구 경동시장로30-7,서울,동대문구,Y,,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02060017,청량리종합시장,전통시장,서울특별시 동대문구 제기동 647-11,서울특별시 동대문구 홍릉로 1길 68-3,서울,동대문구,Y,,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N
a02060018,청량리청과물시장,전통시장,서울특별시 동대문구 제기동 635-35,서울특별시 동대문구 왕산로33길 16,서울,동대문구,Y,,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y
a02060115,청량리농수산물시장,전통시장,서울특별시 동대문구 제기동 629-2,서울특별시 동대문구 경동시장로 22,서울,동대문구,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N
a02060016,청량리전통시장,전통시장,서울특별시 동대문구 청량리동 773,서울특별시 동대문구 경동시장로2길 49-3,서울,동대문구,Y,,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N
b02060002,회기시장,전통시장,서울특별시 동대문구 회기동 57-220,서울특별시 동대문구 회기로25길 11,서울,동대문구,N,,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N
a02060006,답십리현대시장,전통시장,서울특별시 동대문구 답십리동 967-5,서울특별시 동대문구 전농로 4길 38,서울,동대문구,Y,,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
a02070006,우림골목시장,전통시장,서울특별시 중랑구 망우동 463-44 우림시장 편의시설,서울특별시 중랑구 망우로62길 52-4 망우동,서울,중랑구,Y,,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
a02070001,중랑동부시장(동부골목시장),전통시장,서울특별시 중랑구 면목동 183-118,서울특별시 중랑구 동일로109길 31-5,서울,중랑구,N,,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N
a02070002,동원전통종합시장,전통시장,서울특별시 중랑구 면목동 74-58,서울특별시 중랑구 상봉로11길 27-3 면목동,서울,중랑구,Y,,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N
a02070003,동원시장,전통시장,서울특별시 중랑구 면목동 101-1 동원시장,서울특별시 중랑구 면목로74길 45 면목동,서울,중랑구,N,,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N
a02070004,면목시장,전통시장,서울특별시 중랑구 면목동 650 카멜리아쇼핑센타,서울특별시 중랑구 면목로39길 11,서울,중랑구,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,N
a02070005,면목골목시장,전통시장,서울특별시 중랑구 면목동 666-15,서울특별시 중랑구 사가정로50길 84,서울,중랑구,Y,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02070009,사가정시장,전통시장,서울특별시 중랑구 면목동 472-45,서울특별시 중랑구 면목로44길 16,서울,중랑구,N,,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N
a02070007,중랑교종합상가,전통시장,서울특별시 중랑구 상봉동 129-9 중랑교쇼핑센터,서울특별시 중랑구 망우로 32길 23,서울,중랑구,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N
a02070011,동성타워프라자,전통시장,서울특별시 중랑구 신내동 786 동성타워프라자,서울특별시 중랑구 봉화산로 221,서울,중랑구,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02070013,신아타운,전통시장,서울특별시 중랑구 신내동 666 신아타운,서울특별시 중랑구 봉화산로 194 신내동,서울,중랑구,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y
a02070008,태능엔터피아,전통시장,서울특별시 중랑구 중화동 314-1 태능에셈빌,서울특별시 중랑구 동일로129길 35,서울,중랑구,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N
a02070014,장미제일시장,전통시장,서울특별시 중랑구 중화동 309-1,서울특별시 중랑구 동일로143길 36,서울,중랑구,N,,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N
a02080005,돈암시장,전통시장,서울특별시 성북구 동소문동5가 59-1,서울특별시 성북구 동소문로18길 18 (돈암제일시장 고객편의센터),서울,성북구,Y,,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y
a02080004,길음시장,전통시장,서울특별시 성북구 길음동 535-8 길음시장,서울특별시 성북구 동소문로 227 길음동,서울,성북구,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,N
a02080011,돌곶이시장(구 석관황금시장),전통시장,서울특별시 성북구 석관동 279-16,서울특별시 성북구 한천로73길 22,서울,성북구,Y,,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y
a02080014,장위전통시장,전통시장,서울특별시 성북구 장위동 68-225,서울특별시 성북구 장위로38길 46-1,서울,성북구,Y,,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y
a02080012,정릉아리랑시장,전통시장,서울특별시 성북구 정릉동 443-1,서울특별시 성북구 정릉로26가길 32,서울,성북구,N,,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y
a02080016,정릉시장,전통시장,서울특별시 성북구 정릉동 400-8,서울특별시 성북구 보국문로11길 18-19 (정릉시장 고객편의시설),서울,성북구,N,,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
a02090011,수유시장,전통시장,서울특별시 강북구 수유1동 54-5,서울특별시 강북구 도봉로67길 18,서울,강북구,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y
a02090013,수유재래시장,전통시장,서울특별시 강북구 수유1동 50-77 일대,서울특별시 강북구 도봉로71길 26 일대,서울,강북구,Y,,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
a02090002,백년시장(강북종합시장과별개의시장) 구 강북종합전통시장,전통시장,서울특별시 강북구 수유동 177-7호  일대,서울특별시 강북구 한천로144길 12 일대,서울,강북구,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a02090009,수유전통시장(수유골목시장),전통시장,서울특별시 강북구 수유동 54-5 일대,서울특별시 강북구 도봉로67길 18 일대,서울,강북구,Y,,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y
a02090012,수유프라자,전통시장,서울특별시 강북구 수유동 63,서울특별시 강북구 도봉로 261,서울,강북구,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,N
a02090015,수유중앙시장,전통시장,서울특별시 강북로 수유동 32-2,서울특별시 강북로 노해로 17길 21,서울,강북구,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N
a02090018,우이시장,전통시장,서울특별시 강북구 수유동 270-185,서울특별시 강북구 노해로 23길 68,서울,강북구,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a02090019,장미원골목시장,전통시장,서울특별시 강북구 수유동 319-5  일대,서울특별시 강북구 삼양로 469 일대,서울,강북구,Y,N,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y
a02100003,신도봉시장,전통시장,서울특별시 도봉구 도봉동 611,서울특별시 도봉구 도당로19길 68,서울,도봉구,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N
a02100002,방학동도깨비시장,전통시장,서울특별시 도봉구 방학동 633-15,서울특별시 도봉구 도당로 13가길 17 2층,서울,도봉구,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
a02100005,쌍문시장,전통시장,서울특별시 도봉구 쌍문동 94-29,서울특별시 도봉구 도봉로113길 20,서울,도봉구,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
a02100008,백운시장,전통시장,서울특별시 도봉구 쌍문동 495-80,서울특별시 도봉구 삼양로154길 30,서울,도봉구,N,,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
a02100004,창동신창시장,전통시장,서울특별시 도봉구 창동 578-47,서울특별시 도봉구 덕릉로 57길 17,서울,도봉구,Y,,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y
a02100007,창동골목시장,전통시장,서울특별시 도봉구 창동 557-45 일대,서울특별시 도봉구 덕릉로58길 16,서울,도봉구,Y,,Y,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N
a02110003,상계중앙시장,전통시장,서울특별시 노원구 상계동 389번지 일원 49필지,서울특별시 노원구 상계로 27길 32,서울,노원구,Y,,Y,Y,Y,N,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y
a02110001,공릉동도깨비시장,전통시장,서울특별시 노원구 공릉1동 566-20외 65필지,서울특별시 노원구 동일로180길 37,서울,노원구,Y,,Y,N,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
a02120008,연서시장,전통시장,서울특별시 은평구 불광동 310-4,서울특별시 은평구 연서로 247 불광동,서울,은평구,N,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,N
a02120010,제일시장,전통시장,서울특별시 은평구 대조동 14-1,서울특별시 은평구 통일로 731 대조동,서울,은평구,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
a02120003,대림시장,전통시장,서울특별시 은평구 응암동 754-1,서울특별시 은평구 응암로4길 22,서울,은평구,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a02120014,신응암시장,전통시장,서울특별시 은평구 응암동 427-130,서울특별시 은평구 응암로22길3-1,서울,은평구,Y,,Y,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N
