시장코드,시장명,시장 유형,지번주소,도로명주소,시도,시군구,아케이드 보유 여부,엘리베이터_에스컬레이터_보유여부,고객지원센터 보유 여부,스프링쿨러 보유 여부,화재감지기 보유여부,유아놀이방_보유여부,종합콜센터_보유여부,고객휴게실_보유여부,수유센터_보유여부,물품보관함_보유여부,자전거보관함_보유여부,체육시설_보유여부,간이 도서관_보유여부,쇼핑카트_보유여부,외국인 안내센터_보유여부,고객동선통로_보유여부,방송센터_보유여부,문화교실_보유여부,공동물류창고_보유여부,시장전용 고객주차장_보유여부,교육장_보유여부,회의실_보유여부,자동심장충격기_보유여부
a51070002,남광시장,전통시장,부산광역시 남구 대연4동1170-7,부산광역시 남구 홍곡로 359,부산,남구,N,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
a51070003,못골골목시장,전통시장,부산광역시 남구 대연5동 1416-23,부산광역시 남구 못골로 66-1,부산,남구,N,,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y
a51070005,대연시장,전통시장,부산광역시 남구 대연5동 1760-1,부산광역시 남구 못골로 56,부산,남구,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a51070010,용호골목시장,전통시장,부산광역시 남구 용호동 494-19,부산광역시 남구 용호로 177번길5,부산,남구,Y,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a51070011,용호삼성시장,전통시장,부산광역시 남구 용호동 128-1,부산광역시 남구 용호로 106번길 40,부산,남구,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
a51070013,용호시장,전통시장,부산광역시 남구 용호동 516-10,부산광역시 남구 동명로 152번길 93,부산,남구,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,N
a51070014,용호1동골목시장,전통시장,부산광역시 남구 용회동 215-14번지,부산광역시 남구 용호로106번길 56,부산,남구,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a51070012,우암골목시장,전통시장,부산광역시 남구 우암동 226-17,부산광역시 남구 장고개로 9-1,부산,남구,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
a51080007,정이있는구포시장,전통시장,부산광역시 북구 구포1동 599-15,부산광역시 북구 구포시장2길 8,부산,북구,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
a51080004,구포축산물도매시장,전통시장,부산광역시 북구 구포2동 1188-3번지,부산광역시 북구 사상로583번길 25,부산,북구,Y,,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a51080001,덕천시장,전통시장,부산광역시 북구 덕천동 411-5,부산광역시 북구 덕천동 411-5,부산,북구,Y,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N
a51080005,만덕시장,전통시장,부산광역시 북구 만덕1동 829,부산광역시 북구 만덕1로24번길 8,부산,북구,Y,,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N
a51080009,만덕2동제일상가시장,전통시장,부산광역시 북구 만덕2동 945-2,부산광역시 북구 함박봉로140번길 109,부산,북구,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
a51090024,반송큰시장(반송2동시장),전통시장,부산광역시 해운대구 반송2동 40-762,부산광역시 해운대구 윗반송로51번길 86,부산,해운대구,Y,,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y
a51090004,반송골목시장,전통시장,부산광역시 해운대구 반송동 250-371,부산광역시 해운대구 아랫반송로 39번길 18-1,부산,해운대구,Y,,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y
a51090007,반여시장,전통시장,부산광역시 해운대구 반여2동 1291 918,부산광역시 해운대구 재반로226번길 48,부산,해운대구,Y,,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N
a51090026,반여2동상가시장,전통시장,부산광역시 해운대구 반여2동 1291-1425,부산광역시 해운대구 해운대로61번길 95-83,부산,해운대구,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y
a51090006,반여3동골목시장,전통시장,부산광역시 해운대구 반여3동 1607-2,부산광역시 해운대구 재반로256번길 8,부산,해운대구,Y,,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N
a51090018,재송시장,전통시장,부산광역시 해운대구 재송1동 1080-5,부산광역시 해운대구 재송1로60번길 16 서해재송아파트,부산,해운대구,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y
a51090027,재송한마음시장,전통시장,부산광역시 해운대구 재송동 1089-18,부산광역시 해운대구 재반로 81-20,부산,해운대구,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a51090019,좌동재래시장,전통시장,부산광역시 해운대구 좌동 892,부산광역시 해운대구 좌동로91번길 20,부산,해운대구,Y,,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y
a51090013,우동종합상가시장,전통시장,부산광역시 해운대구 우2동 1092 16,부산광역시 해운대구 해운대로383번길 37-10,부산,해운대구,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N
a51090021,해운대시장,전통시장,부산광역시 해운대구 중1동 1394-193,부산광역시 해운대구 구남로41번길 22-1,부산,해운대구,Y,,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y
a51100002,가락타운상가시장,전통시장,부산광역시 사하구 사하구 하단1동 1175,부산광역시 사하구 하신번영로 233 가락타운2 3단지,부산,사하구,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N
a51100004,감천시장,전통시장,부산광역시 사하구 감천 1동 471,부산광역시 사하구 옥천로 8,부산,사하구,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N
